cd_fcu;CMAET60;CMAST60;CMATT60;CMACT60;year;nm_fcu;cd_mun;nm_mun
11000490002;NA;NA;NA;NA;NA;Avenida 07 de Setembro;1100049;Cacoal
11000490006;NA;NA;NA;NA;NA;Vitória;1100049;Cacoal
11001060003;NA;NA;NA;NA;NA;Santa Luzia;1100106;Guajará-Mirim
11001060004;NA;NA;NA;NA;NA;Nossa Senhora de Fátima;1100106;Guajará-Mirim
11001060005;NA;NA;NA;NA;NA;Jardim das Esmeraldas;1100106;Guajará-Mirim
11001060006;NA;NA;NA;NA;NA;Triângulo Novo;1100106;Guajará-Mirim
11002050002;NA;NA;NA;NA;NA;Nova Esperança;1100205;Porto Velho
11002050003;NA;NA;NA;NA;NA;Aponiã A;1100205;Porto Velho
11002050004;NA;NA;NA;NA;NA;Areia Branca;1100205;Porto Velho
11002050005;NA;NA;NA;NA;NA;Baixa da União;1100205;Porto Velho
11002050006;NA;NA;NA;NA;NA;Cidade Nova II;1100205;Porto Velho
11002050007;NA;NA;NA;NA;NA;Eletronorte;1100205;Porto Velho
11002050008;NA;NA;NA;NA;NA;Esperança da Comunidade;1100205;Porto Velho
11002050009;NA;NA;NA;NA;NA;Floresta III;1100205;Porto Velho
11002050010;NA;NA;NA;NA;NA;Jardim Santana IV;1100205;Porto Velho
11002050011;NA;NA;NA;NA;NA;Maringá;1100205;Porto Velho
11002050012;NA;NA;NA;NA;NA;Mato Grosso;1100205;Porto Velho
11002050013;NA;NA;NA;NA;NA;Mocambo;1100205;Porto Velho
11002050014;NA;NA;NA;NA;NA;Nacional;1100205;Porto Velho
11002050016;NA;NA;NA;NA;NA;Novo Horizonte;1100205;Porto Velho
11002050017;NA;NA;NA;NA;NA;Fora do Perímetro VI;1100205;Porto Velho
11002050018;NA;NA;NA;NA;NA;Planalto III;1100205;Porto Velho
11002050019;NA;NA;NA;NA;NA;Cidade Jardim IV;1100205;Porto Velho
11002050020;NA;NA;NA;NA;NA;Roque A;1100205;Porto Velho
11002050021;NA;NA;NA;NA;NA;Roque III;1100205;Porto Velho
11002050022;NA;NA;NA;NA;NA;São Sebastião III;1100205;Porto Velho
