cd_fcu;total_pessoas;total_dp_ocupados;total_dp_agua_rede_geral;total_dp_esgoto_rede_geral;total_dp_lixo_coleta;cont_dp_permanentes;pop_analfabeta_15m;pop_alfabetizada_15m;pop_total_15m;total_banheiros;renda_media_pond;renda_sm_pond;faces_total;faces_via_pav;faces_bueiro;faces_ilum;faces_ponto_on;faces_via_bic;faces_calcada;faces_obstac;faces_rampa;perc_agua_adequada;perc_esgoto_adequado;perc_lixo_coleta;perc_analfabeto_populacao;num_medio_banheiros_por_morador;perc_via_pavimentada;perc_bueiro;perc_iluminacao_publica;perc_ponto_onibus;perc_via_bicicleta;perc_calcada;perc_obstaculo_calcada;perc_rampa_cadeirante;i_agua_adequada;i_esgoto_adequado;i_lixo_coleta;i_banheiros;i_rendimento_medio;i_renda_ge_10_sm;i_analfabetismo;i_renda_ate_2_sm;IDS;i_via_pav;i_bueiro;i_ilum;i_pont_on;i_via_bic;i_calcad;i_obstac;i_rampa;IDA;nm_fcu;nm_mun;nm_uf;cd_mun
11000490002;51;23;23;11;23;11;0;39;39;30;2833,550000000000;2,337912541254126;4;2;2;4;0;0;2;2;0;100,000000000000000;47,826086956521742;100,000000000000000;0,000000000000000;0,58823529411764708;50,000000000000000;50,000000000000000;100,000000000000000;0,0000000000000000;0,000000000000000;50,000000000000000;50,000000000000000;0,000000000000000;1,00000000000000000;0,47826086956521741;1,00000000000000000;0,23990020151616928;0,01422733374593301;0,01422733374593301;1,000000000000000;0,985772666254067;0,591548550603415;0,50000000000000000;0,50000000000000000;1,00000000000000000;0,000000000000000000;0,00000000000000000;0,50000000000000000;0,5000000000000000;0,00000000000000000;0,375000000000000;Avenida 07 de Setembro;Cacoal;Rondônia;1100049
11000490006;492;176;155;0;164;76;36;328;364;0;1557,870000000000;1,285371287128713;32;2;0;32;0;0;2;2;0;88,068181818181827;0,000000000000000;93,181818181818173;9,890109890109891;0,00000000000000000;6,250000000000000;0,000000000000000;100,000000000000000;0,0000000000000000;0,000000000000000;6,250000000000000;6,250000000000000;0,000000000000000;0,88068181818181823;0,00000000000000000;0,93181818181818177;0,00000000000000000;0,00700987574428197;0,00700987574428197;0,863676863676864;0,992990124255718;0,460398342427643;0,06250000000000000;0,00000000000000000;1,00000000000000000;0,000000000000000000;0,00000000000000000;0,06250000000000000;0,9375000000000000;0,00000000000000000;0,257812500000000;Vitória;Cacoal;Rondônia;1100049
11001060003;630;168;47;0;160;139;23;389;412;142;1323,345000000000;1,091868811881188;63;1;0;59;0;0;0;0;0;27,976190476190478;0,000000000000000;95,238095238095227;5,582524271844661;0,22539682539682540;1,587301587301587;0,000000000000000;93,650793650793645;0,0000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,27976190476190477;0,00000000000000000;0,95238095238095222;0,09192366451746550;0,00568299569768940;0,00568299569768940;0,923051692469168;0,994317004302311;0,406600151228397;0,01587301587301587;0,00000000000000000;0,93650793650793640;0,000000000000000000;0,00000000000000000;0,00000000000000000;1,0000000000000000;0,00000000000000000;0,244047619047619;Santa Luzia;Guajará-Mirim;Rondônia;1100106
11001060004;539;156;33;0;150;123;31;336;367;0;1410,740000000000;1,163976897689769;41;4;0;39;0;0;1;1;0;21,153846153846153;0,000000000000000;96,153846153846160;8,446866485013624;0,00000000000000000;9,756097560975610;0,000000000000000;95,121951219512198;0,0000000000000000;0,000000000000000;2,439024390243902;2,439024390243902;0,000000000000000;0,21153846153846154;0,00000000000000000;0,96153846153846156;0,00000000000000000;0,00617745335325686;0,00617745335325686;0,883570218720082;0,993822546646743;0,382853074393783;0,09756097560975610;0,00000000000000000;0,95121951219512202;0,000000000000000000;0,00000000000000000;0,02439024390243903;0,9756097560975610;0,00000000000000000;0,256097560975610;Nossa Senhora de Fátima;Guajará-Mirim;Rondônia;1100106
11001060005;1060;310;0;0;281;217;77;641;718;0;1340,320000000000;1,105874587458746;89;21;0;89;0;0;21;21;0;0,000000000000000;0,000000000000000;90,645161290322591;10,724233983286908;0,00000000000000000;23,595505617977526;0,000000000000000;100,000000000000000;0,0000000000000000;0,000000000000000;23,595505617977526;23,595505617977526;0,000000000000000;0,00000000000000000;0,00000000000000000;0,90645161290322596;0,00000000000000000;0,00577903573090935;0,00577903573090935;0,852179477527667;0,994220964269091;0,345551265770225;0,23595505617977527;0,00000000000000000;1,00000000000000000;0,000000000000000000;0,00000000000000000;0,23595505617977527;0,7640449438202247;0,00000000000000000;0,279494382022472;Jardim das Esmeraldas;Guajará-Mirim;Rondônia;1100106
11001060006;713;209;179;20;164;135;44;461;505;0;1367,130000000000;1,127995049504951;87;27;3;83;0;0;27;27;0;85,645933014354071;9,569377990430622;78,468899521531100;8,712871287128712;0,00000000000000000;31,034482758620690;3,448275862068965;95,402298850574709;0,0000000000000000;0,000000000000000;31,034482758620690;31,034482758620690;0,000000000000000;0,85645933014354070;0,09569377990430622;0,78468899521531099;0,00000000000000000;0,00593071957719076;0,00593071957719076;0,879903666042280;0,994069280422809;0,452834561360329;0,31034482758620691;0,03448275862068965;0,95402298850574707;0,000000000000000000;0,00000000000000000;0,31034482758620691;0,6896551724137931;0,00000000000000000;0,287356321839080;Triângulo Novo;Guajará-Mirim;Rondônia;1100106
11002050002;1533;459;5;0;449;240;39;1105;1144;0;2030,490000000000;1,675321782178218;104;26;1;98;2;0;16;14;0;1,089324618736383;0,000000000000000;97,821350762527231;3,409090909090909;0,00000000000000000;25,000000000000000;0,961538461538462;94,230769230769226;1,9230769230769231;0,000000000000000;15,384615384615385;13,461538461538462;0,000000000000000;0,01089324618736384;0,00000000000000000;0,97821350762527226;0,00000000000000000;0,00968383394754636;0,00968383394754636;0,953009828009828;0,990316166052454;0,368975051971251;0,25000000000000000;0,00961538461538462;0,94230769230769229;0,019230769230769232;0,00000000000000000;0,15384615384615385;0,8653846153846154;0,00000000000000000;0,280048076923077;Nova Esperança;Porto Velho;Rondônia;1100205
11002050003;2152;684;411;11;680;285;63;1639;1702;1035;3092,935000000000;2,551926567656766;71;70;27;70;4;3;47;39;0;60,087719298245609;1,608187134502924;99,415204678362571;3,701527614571093;0,48094795539033458;98,591549295774655;38,028169014084504;98,591549295774655;5,6338028169014089;4,225352112676056;66,197183098591552;54,929577464788736;0,000000000000000;0,60087719298245612;0,01608187134502924;0,99415204678362568;0,19614516940878246;0,01569486505767126;0,01569486505767127;0,948978943691047;0,984305134942329;0,471491261158576;0,98591549295774650;0,38028169014084506;0,98591549295774650;0,056338028169014093;0,04225352112676056;0,66197183098591550;0,4507042253521126;0,00000000000000000;0,445422535211268;Aponiã A;Porto Velho;Rondônia;1100205
11002050004;1903;556;0;0;545;312;63;1376;1439;721;1850,950000000000;1,527186468646865;83;66;17;80;12;0;39;37;1;0,000000000000000;0,000000000000000;98,021582733812949;4,378040305767894;0,37887545980031528;79,518072289156621;20,481927710843372;96,385542168674704;14,4578313253012034;0,000000000000000;46,987951807228917;44,578313253012048;1,204819277108434;0,00000000000000000;0,00000000000000000;0,98021582733812951;0,15451690856456579;0,00866804440031161;0,00866804440031161;0,939654039028605;0,991331955599688;0,385381852416451;0,79518072289156616;0,20481927710843373;0,96385542168674698;0,144578313253012042;0,00000000000000000;0,46987951807228917;0,5542168674698795;0,01204819277108434;0,393072289156627;Areia Branca;Porto Velho;Rondônia;1100205
11002050005;346;125;124;11;123;54;6;254;260;151;1426,990000000000;1,177384488448845;44;28;22;43;5;0;28;27;0;99,200000000000003;8,799999999999999;98,400000000000006;2,307692307692308;0,43641618497109824;63,636363636363633;50,000000000000000;97,727272727272734;11,3636363636363633;0,000000000000000;63,636363636363633;61,363636363636367;0,000000000000000;0,99199999999999999;0,08799999999999999;0,98400000000000010;0,17798376222312326;0,00626939152938788;0,00626939152938788;0,968191268191268;0,993730608470612;0,527055552742972;0,63636363636363635;0,50000000000000000;0,97727272727272729;0,113636363636363633;0,00000000000000000;0,63636363636363635;0,3863636363636364;0,00000000000000000;0,406250000000000;Baixa da União;Porto Velho;Rondônia;1100205
