cd_fcu;tem_risco;n_setores_risco
11000490002;1;1
11000490006;0;0
11001060003;1;1
11001060004;0;0
11001060005;0;0
11001060006;1;1
11002050002;0;0
11002050003;0;0
11002050004;0;0
11002050005;1;1
11002050006;0;0
11002050007;0;0
11002050008;0;0
11002050009;1;1
11002050010;0;0
11002050011;0;0
11002050012;0;0
11002050013;1;1
11002050014;1;1
11002050016;0;0
11002050017;0;0
11002050018;0;0
11002050019;0;0
11002050020;0;0
11002050021;0;0
11002050022;1;1
11002050023;0;0
11002050024;0;0
11002050025;1;1
11002050026;1;1
11002050031;0;0
11002050032;1;1
11002050034;0;0
11002050035;0;0
11002050036;0;0
11002050037;0;0
11002050038;0;0
11002050039;0;0
11002050040;0;0
11002050041;0;0
11002050042;0;0
11002050043;0;0
11002050044;1;1
11002050045;0;0
11002050046;1;1
11002050047;0;0
11002050048;1;1
11002050049;0;0
11002050050;0;0
11002050051;0;0
11002050052;0;0
11002050053;0;0
11002050054;0;0
11002050055;1;1
11002050056;1;1
11002050057;0;0
11002050058;1;1
11002050059;0;0
11002050060;0;0
11002050061;0;0
11002050062;0;0
11002050063;0;0
11002050064;0;0
11002050065;0;0
11002050066;0;0
11002050067;0;0
11002050068;0;0
11002050069;0;0
11002050070;0;0
11002050071;0;0
11002050072;0;0
11002050073;0;0
11002050074;0;0
11002050075;0;0
12001040001;1;1
12001040002;1;1
12001040003;1;1
12001040004;0;0
12001040005;0;0
12001040006;1;1
12001040007;0;0
12001040008;0;0
12001040009;1;1
12001040010;1;1
12002030001;1;1
12002030002;1;1
12002030003;0;0
12002030004;1;1
12002030005;1;1
12002030006;1;1
12002030008;1;1
12002030009;1;1
12002030010;0;0
12002030011;0;0
12002030012;0;0
12002030013;1;1
12002030014;0;0
12002030015;0;0
12002030016;1;1
12002030017;1;1
12002520001;1;1
12002520005;0;0
12002520007;0;0
12002520008;1;1
12002520009;1;1
12002520010;1;1
12004010001;1;1
12004010002;1;1
12004010004;0;0
12004010005;0;0
12004010006;1;1
12004010007;1;1
12004010008;1;1
12004010009;1;1
12004010010;1;1
12004010011;0;0
12004010013;0;0
12004010015;1;1
12004010016;0;0
12004010017;1;1
